,date,day,month,year,Mon,Tue,Wed,Thu,Fri,Sat,Sun,pressure,temperature,humidity,windspeed,wind_direction,maximum_windspeed_x,maximum_wind_direction,rainfall,volume,level,alarms_count,price,D+1,D+3,D+5,D+7
7444,2021-06-27,27,06,2021,0,0,0,0,0,1,0,968.2775075202952,24.774606422962577,85.12173458079774,1.7763582924754349,151.77252877352814,8.401218748739327,212.27262172092472,12.419944809884337,90543.0,0,0.0,26.7,21.9,22.4,24.5,34.0
7445,2021-06-29,29,06,2021,1,0,0,0,0,0,0,968.470038832021,24.83864105806396,84.43376967836916,1.9575713423582008,156.47460234337908,9.421403268175585,205.9074457666557,17.362817009079798,133251.0,0,0.0,21.9,21.6,22.8,33.1,30.0
7446,2021-06-30,30,06,2021,0,1,0,0,0,0,0,968.6337854085324,25.71095565965308,80.69691756131084,1.951026544348441,168.48811470486189,8.850247581616816,210.6262405386151,0.591189142478388,102794.0,0,0.0,21.6,22.4,24.5,34.0,27.9
7447,2021-07-01,01,07,2021,0,0,1,0,0,0,0,968.7391511423124,25.85827347072277,78.82936210022785,1.845428608744976,164.6528201898861,8.22344837115441,214.60567209951813,0.0689195844634898,75120.0,0,0.0,22.4,22.8,33.1,30.0,32.1
7448,2021-07-02,02,07,2021,0,0,0,1,0,0,0,969.3687990693444,25.94624711157944,80.3219485911669,1.6719524967186168,167.26896516517445,7.569477502846928,215.86114655637687,0.1715815485996705,102905.0,0,0.0,22.8,24.5,34.0,27.9,33.7
7449,2021-07-03,03,07,2021,0,0,0,0,1,0,0,969.446493375584,25.945217048464063,80.8254200531404,1.5009458997449694,150.69907841501242,7.24039308527547,208.55700297547585,0.7947836263439125,90354.0,0,0.0,24.5,33.1,30.0,32.1,33.5
7450,2021-07-04,04,07,2021,0,0,0,0,0,1,0,970.080486774924,25.870959622721493,82.17360487162226,1.5940152066756628,128.90534904207513,7.582968706981465,207.06916239628845,2.018380986079886,75930.0,0,0.0,33.1,34.0,27.9,33.7,44.2
7451,2021-07-06,06,07,2021,1,0,0,0,0,0,0,968.7571487365354,25.52883196847236,84.29808367466707,1.9366499425544648,149.18949011487194,9.827811731535958,186.7624206752924,10.222809917355372,89161.0,0,0.0,34.0,30.0,32.1,33.5,44.7
7452,2021-07-07,07,07,2021,0,1,0,0,0,0,0,972.3345891668184,25.89691824537488,83.01137975660403,1.5997940024887791,146.55983804498496,8.020476570757051,195.23582819993075,5.719554455445545,109801.0,0,0.0,30.0,27.9,33.7,44.2,44.9
7453,2021-07-08,08,07,2021,0,0,1,0,0,0,0,972.6129307554928,25.986916950944163,81.51797326842905,1.4422726703055235,152.6696204502718,7.11037498381245,208.4141817279106,1.1194078947368422,91222.0,0,0.0,27.9,32.1,33.5,44.7,44.4
7454,2021-07-09,09,07,2021,0,0,0,1,0,0,0,972.0354662600744,26.12211157413028,79.56510266125005,1.5171820979464046,145.7405325397629,7.174898997347126,205.59688732783783,0.9351973684210528,72544.0,0,0.0,32.1,33.7,44.2,44.9,45.6
7455,2021-07-10,10,07,2021,0,0,0,0,1,0,0,972.100834676337,26.04472115270283,80.34963591450783,1.5014168186010048,143.8908610144566,7.169248296440757,201.8425537713393,1.5324546952224054,79440.0,0,0.0,33.7,33.5,44.7,44.4,54.4
7456,2021-07-11,11,07,2021,0,0,0,0,0,1,0,972.8224532154068,25.85750122061158,81.80473430522656,1.4479538100508416,135.21411326035502,7.178980927309295,198.9705800446888,3.353217821782178,94753.0,0,0.0,33.5,44.2,44.9,45.6,57.8
7457,2021-07-13,13,07,2021,1,0,0,0,0,0,0,971.490218947816,25.48487135661404,82.61467295065736,1.4713032412956517,123.30981375196836,7.98536976793061,178.20862458551824,8.103207236842104,63212.0,0,0.0,44.2,44.7,44.4,54.4,46.4
7458,2021-07-14,14,07,2021,0,1,0,0,0,0,0,970.9981075854944,25.606490884019337,79.65223011647778,1.6187747975084774,125.87974286112647,8.009683921740429,177.40698144531507,3.2238486842105263,64018.0,0,0.0,44.7,44.9,45.6,57.8,41.6
7459,2021-07-16,16,07,2021,0,0,0,1,0,0,0,970.3595030111431,25.115295858884743,81.80241159253906,1.4609513654859478,115.03639676606127,7.4268634615340785,169.27120338013145,8.285608552631578,66278.0,0,0.0,44.9,44.4,54.4,46.4,44.2
7460,2021-07-17,17,07,2021,0,0,0,0,1,0,0,968.6806883538304,25.38863242537385,80.30620469236203,1.497130857027111,122.0364567277846,7.322369373706627,165.61884888224716,3.3468698517298185,69557.0,0,0.0,44.4,45.6,57.8,41.6,51.7
7461,2021-07-18,18,07,2021,0,0,0,0,0,1,0,967.7368523841604,25.570557452125364,80.19579433755041,1.453456880831839,110.75226119731184,7.176144650024735,171.4838300334118,2.4211348684210527,58888.0,0,0.0,45.6,54.4,46.4,44.2,50.4
7462,2021-07-20,20,07,2021,1,0,0,0,0,0,0,967.0051208045172,25.25210036082697,83.89421253017626,1.5781587495545455,116.68395927963476,8.04384809653844,172.8729467421899,12.844224422442243,44392.0,0,0.0,54.4,57.8,41.6,51.7,45.0
7463,2021-07-21,21,07,2021,0,1,0,0,0,0,0,964.8965456466844,25.50654657326334,81.57212160448574,1.9040596412356745,123.50985061525316,9.433743343341115,165.9856207500756,9.455436573311369,46335.0,2,22.0,57.8,46.4,44.2,50.4,40.0
7464,2021-07-22,22,07,2021,0,0,1,0,0,0,0,960.9056102068334,25.17825514306932,86.58705564650471,2.518747476721428,143.64617941324002,10.318822052190814,175.4199760092529,21.287417135832325,65517.0,2,22.0,46.4,41.6,51.7,45.0,43.0
7465,2021-07-23,23,07,2021,0,0,0,1,0,0,0,958.9622201246666,24.981189557496823,87.33059864262106,2.798646399950341,170.6208430756381,11.493371968807969,205.95839269649773,26.01374259097249,43498.0,2,22.0,41.6,44.2,50.4,40.0,44.6
7466,2021-07-24,24,07,2021,0,0,0,0,1,0,0,960.0883931256216,25.17291714484241,84.73450312748953,2.354649558805228,190.40802100519127,10.732874886832075,233.9945181183637,31.30839518866772,37912.0,2,22.0,44.2,51.7,45.0,43.0,41.0
